"Block Offset 2, x; Block Offset 8, x; Block Offset 32, x; Block Offset 64, x","Block Offset 2, y","Block Offset 8, y","Block Offset 32, y","Block Offset 64, y"
"1","51.4395","27.8019","15.7022","13.8968"
"2","41.4343","22.7035","12.7781","10.7776"
"4","31.1659","17.0309","9.7376","8.4628"
"8","24.2523","13.0461","7.0773","6.1762"
"16","18.1776","9.4542","4.8853","4.0844"
"32","14.4721","7.2952","3.5758","2.8495"
"64","12.4787","6.1115","2.7257","2.0142"
"128","11.6806","5.6269","2.3615","1.661"
"256","11.2704","5.3649","2.1746","1.4598"
"512","11.1134","5.2685","2.1076","1.3856"
"1024","11.0907","5.2488","2.0803","1.3561"
"2048","11.088","5.2466","2.0785","1.3501"
"4096","11.0791","5.2369","2.0635","1.3373"
"8192","11.0791","5.2366","2.0632","1.337"
