"Block Offset 2, x; Block Offset 8, x; Block Offset 32, x; Block Offset 64, x","Block Offset 2, y","Block Offset 8, y","Block Offset 32, y","Block Offset 64, y"
"1","50.5394","27.6165","15.9652","14.1392"
"2","39.1962","21.9778","12.829","10.9992"
"4","28.8878","15.7349","9.2468","8.1552"
"8","22.4427","11.8904","6.3749","5.5492"
"16","17.69","9.1152","4.5789","3.7915"
"32","14.4851","7.2538","3.4002","2.6033"
"64","12.4908","6.1201","2.7048","2.0011"
"128","11.4318","5.4917","2.2924","1.5993"
"256","11.1505","5.3011","2.1363","1.4263"
"512","11.0883","5.2433","2.0723","1.3517"
"1024","11.0785","5.2364","2.0592","1.3329"
"2048","11.0775","5.2321","2.0509","1.3233"
"4096","11.0775","5.2317","2.0495","1.322"
"8192","11.0775","5.2317","2.0495","1.322"
